Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,,,161,0.357,0.463
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,,,162,0.355,0.451
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,,,162,0.344,0.431
ANA,AL,2001,691,730,75,0.327,0.405,0.261,0,,,162,0.331,0.412
ARI,NL,2001,818,677,92,0.341,0.442,0.267,1,5,1,162,0.311,0.404
ATL,NL,2001,729,643,88,0.324,0.412,0.26,1,7,3,162,0.314,0.384
BAL,AL,2001,687,829,63,0.319,0.38,0.248,0,,,162,0.337,0.439
BOS,AL,2001,772,745,82,0.334,0.439,0.266,0,,,161,0.329,0.393
CHC,NL,2001,777,701,88,0.336,0.43,0.261,0,,,162,0.321,0.398
CHW,AL,2001,798,795,83,0.334,0.451,0.268,0,,,162,0.334,0.427
CIN,NL,2001,735,850,66,0.324,0.419,0.262,0,,,162,0.341,0.455
CLE,AL,2001,897,821,91,0.35,0.458,0.278,1,6,4,162,0.341,0.417
COL,NL,2001,923,906,73,0.354,0.483,0.292,0,,,162,0.35,0.48
DET,AL,2001,724,876,66,0.32,0.409,0.26,0,,,162,0.357,0.461
FLA,NL,2001,742,744,76,0.326,0.423,0.264,0,,,162,0.338,0.411
HOU,NL,2001,847,769,93,0.347,0.451,0.271,1,4,4,162,0.325,0.437
KCR,AL,2001,729,858,65,0.318,0.409,0.266,0,,,162,0.348,0.45
LAD,NL,2001,758,744,86,0.323,0.425,0.255,0,,,162,0.323,0.411
MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,,,162,0.35,0.44
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,,,162,0.325,0.437
MON,NL,2001,670,812,68,0.319,0.396,0.253,0,,,162,0.339,0.441
NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,,,162,0.314,0.419
NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,3,2,161,0.318,0.398
OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,2,4,162,0.308,0.38
PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,,,162,0.329,0.424
PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,,,162,0.344,0.433
SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,,,162,0.33,0.45
SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,1,3,162,0.301,0.378
SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,,,162,0.329,0.404
STL,NL,2001,814,684,93,0.339,0.441,0.27,1,4,4,162,0.328,0.428
TBD,AL,2001,672,887,62,0.32,0.388,0.258,0,,,162,0.345,0.452
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,,,162,0.362,0.494
TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,,,162,0.339,0.435
ANA,AL,2000,864,869,82,0.352,0.472,0.28,0,,,162,0.351,0.453
ARI,NL,2000,792,754,85,0.333,0.429,0.265,0,,,162,0.326,0.424
ATL,NL,2000,810,714,95,0.346,0.429,0.271,1,2,4,162,0.319,0.402
BAL,AL,2000,794,913,74,0.341,0.435,0.272,0,,,162,0.352,0.449
BOS,AL,2000,792,745,85,0.341,0.423,0.267,0,,,162,0.322,0.411
CHC,NL,2000,764,904,65,0.335,0.411,0.256,0,,,162,0.348,0.452
CHW,AL,2000,978,839,95,0.356,0.47,0.286,1,2,4,162,0.346,0.434
CIN,NL,2000,825,765,85,0.343,0.447,0.274,0,,,163,0.341,0.438
CLE,AL,2000,950,816,90,0.367,0.47,0.288,0,,,162,0.35,0.425
COL,NL,2000,968,897,82,0.362,0.455,0.294,0,,,162,0.354,0.471
DET,AL,2000,823,827,79,0.343,0.438,0.275,0,,,162,0.34,0.443
FLA,NL,2000,731,797,79,0.331,0.409,0.262,0,,,161,0.348,0.429
HOU,NL,2000,938,944,72,0.361,0.477,0.278,0,,,162,0.353,0.476
KCR,AL,2000,879,930,77,0.348,0.425,0.288,0,,,162,0.362,0.474
LAD,NL,2000,798,729,86,0.341,0.431,0.257,0,,,162,0.332,0.407
MIL,NL,2000,740,826,73,0.325,0.403,0.246,0,,,163,0.357,0.42
MIN,AL,2000,748,880,69,0.337,0.407,0.27,0,,,162,0.347,0.466
MON,NL,2000,738,902,67,0.326,0.432,0.266,0,,,162,0.353,0.449
NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,3,2,162,0.327,0.403
NYY,AL,2000,871,814,87,0.354,0.45,0.277,1,5,1,161,0.336,0.422
OAK,AL,2000,947,813,91,0.36,0.458,0.27,1,4,4,161,0.348,0.423
PHI,NL,2000,708,830,65,0.329,0.4,0.251,0,,,162,0.343,0.448
PIT,NL,2000,793,888,69,0.339,0.424,0.267,0,,,162,0.361,0.432
SDP,NL,2000,752,815,76,0.33,0.402,0.254,0,,,162,0.34,0.416
SEA,AL,2000,907,780,91,0.361,0.442,0.269,1,4,3,162,0.339,0.416
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,1,4,162,0.342,0.412
STL,NL,2000,887,771,95,0.356,0.455,0.27,1,2,3,162,0.338,0.434
TBD,AL,2000,733,842,69,0.329,0.399,0.257,0,,,161,0.345,0.451
TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,,,162,0.369,0.475
TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,,,162,0.354,0.456
ANA,AL,1999,711,826,70,0.322,0.395,0.256,0,,,162,0.346,0.427
ARI,NL,1999,908,676,100,0.347,0.459,0.277,1,2,4,162,0.32,0.402
ATL,NL,1999,840,661,103,0.341,0.436,0.266,1,1,2,162,0.314,0.377
BAL,AL,1999,851,815,78,0.353,0.447,0.279,0,,,162,0.35,0.441
BOS,AL,1999,836,718,94,0.35,0.448,0.278,1,6,3,162,0.315,0.398
CHC,NL,1999,747,920,67,0.329,0.42,0.257,0,,,162,0.346,0.467
CHW,AL,1999,777,870,75,0.337,0.429,0.277,0,,,162,0.353,0.447
CIN,NL,1999,865,711,96,0.341,0.451,0.272,0,,,163,0.324,0.411
CLE,AL,1999,1009,860,97,0.373,0.467,0.289,1,4,4,162,0.347,0.439
COL,NL,1999,906,1028,72,0.348,0.472,0.288,0,,,162,0.384,0.499
DET,AL,1999,747,882,69,0.326,0.443,0.261,0,,,161,0.349,0.451
FLA,NL,1999,691,852,64,0.325,0.395,0.263,0,,,162,0.359,0.44
HOU,NL,1999,823,675,97,0.355,0.42,0.267,1,4,4,162,0.326,0.397
KCR,AL,1999,856,921,64,0.348,0.433,0.282,0,,,161,0.365,0.454
LAD,NL,1999,793,787,77,0.339,0.42,0.266,0,,,162,0.336,0.422
MIL,NL,1999,815,886,74,0.353,0.426,0.273,0,,,161,0.356,0.457
MIN,AL,1999,686,845,63,0.328,0.384,0.264,0,,,161,0.342,0.465
MON,NL,1999,718,853,68,0.323,0.427,0.265,0,,,162,0.342,0.418
NYM,NL,1999,853,711,97,0.363,0.434,0.279,1,4,3,163,0.331,0.418
NYY,AL,1999,900,731,98,0.366,0.453,0.282,1,3,1,162,0.329,0.4
OAK,AL,1999,893,846,87,0.355,0.446,0.259,0,,,162,0.344,0.428
PHI,NL,1999,841,846,77,0.351,0.431,0.275,0,,,162,0.347,0.447
PIT,NL,1999,775,782,78,0.334,0.419,0.259,0,,,161,0.343,0.42
SDP,NL,1999,710,781,74,0.332,0.393,0.252,0,,,162,0.333,0.43
SEA,AL,1999,859,905,79,0.343,0.455,0.269,0,,,162,0.368,0.454
SFG,NL,1999,872,831,86,0.356,0.434,0.271,0,,,162,0.345,0.423
STL,NL,1999,809,838,75,0.338,0.426,0.262,0,,,161,0.355,0.427
TBD,AL,1999,772,913,69,0.343,0.411,0.274,0,,,162,0.371,0.448
TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,5,4,162,0.346,0.459
TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,,,162,0.353,0.456
